Company,Company Score,Job Title,Location,Date,Salary
castellum inc,4.1,software engineer,"patuxent river, md",30d+,$90k - $180k (employer est.)
instacart,3.7,"senior software engineer, core experiences",remote,12d,$110k - $130k (employer est.)
walgreens,4.4,software engineer (rxr),"deerfield, il",1d,$76k - $121k (glassdoor est.)
duquesne light,3.6,software engineer iii,"pittsburgh, pa",16d,$88k - $111k (employer est.)
super micro computer,3.0,software engineer,"san jose, ca",30d+,$73k - $116k (glassdoor est.)
ucare,4.4,software engineer senior â€“ azure,"minneapolis, mn",19d,$182k - $273k (employer est.)
cybercore technologies,2.6,software engineer 0,"annapolis junction, md",9d,$85k - $113k (glassdoor est.)
coinflip,3.5,aws devops engineer,"chicago, il",25d,$65k - $95k (employer est.)
bi labs,4.1,software developers (021),"plainsboro, nj",30d+,$109k - $168k (employer est.)
sahbi systems,4.1,software engineers,alabama,18d,$80k - $99k (glassdoor est.)
cultura technologies inc,4.4,sr software engineer,remote,1d,$104k - $153k (glassdoor est.)
excelacom,4.0,devops engineer,"denver, co",3d,$78k - $129k (glassdoor est.)
cityblock health,4.1,senior software engineer,new york state,9d,$82k - $118k (glassdoor est.)
rocket software,4.3,machine learning software engineer,massachusetts,3d,$138k - $294k (employer est.)
huntington ingalls industries inc.,3.3,software engineer (hybrid) - 19943,"columbia, md",11d,$136k - $187k (glassdoor est.)
intuitive machines llc,3.8,research software engineer,"houston, tx",10d,$295k - $440k (employer est.)
equifax,4.4,software engineer - career,"alpharetta, ga",3d,$95k - $146k (glassdoor est.)
super micro computer,4.0,software engineer,"san jose, ca",19d,$117k - $161k (employer est.)
akamai,4.0,software engineer - remote,united states,9d,$173k (employer est.)
mailprotector,4.6,software engineer,remote,2d,$50.00 per hour (employer est.)
blockit now inc,3.8,elixir software engineer,"mckinney, tx",5d,$175k - $250k (employer est.)
tenica and associates llc,4.1,software systems engineer ts/sci ci poly,"las cruces, nm",5d,$55k - $140k (employer est.)
arch capital group ltd.,3.9,software engineer ii,"greensboro, nc",5d,$126k - $234k (employer est.)
lynker corporation,3.9,software engineer,"stennis space center, ms",30d+,$78k - $129k (employer est.)
youtube,3.2,"senior software engineer, full stack, youtube","new york, ny",1d,$75k - $102k (glassdoor est.)
perforce software,4.2,senior software engineer - us,remote,2d,$115k - $150k (employer est.)
world vision usa,3.8,sr. software engineer,united states,16d,$115k - $160k (employer est.)
featurespace,5.0,software engineer,"atlanta, ga",30d+,$82k - $92k (employer est.)
bigbear.ai,3.7,software engineer,"columbia, md",9d,$120k - $130k (employer est.)
"benistar administrative services, inc.",3.9,aws cloud engineer,"avon, ct",2d,$86k - $131k (glassdoor est.)
state of colorado job opportunities,4.7,cloud engineer (remote from anywhere in colorado),colorado,2d,$92k - $133k (glassdoor est.)
intellisource colorado llc,3.1,senior software engineer - enterprise people technology,"bentonville, ar",3d,$112k - $165k (glassdoor est.)
nbcuniversal,4.4,post software engineer,"englewood cliffs, nj",3d,$145k - $162k (employer est.)
artera technologies,4.4,cloud software engineers,united states,6d,$147k - $189k (employer est.)
thompson gray inc.,4.7,engineer (software),redstone arsenal,30d+,$72k - $159k (employer est.)
origence,4.0,software engineer - cudl modernization,remote,1d,$79k - $111k (glassdoor est.)
medius,3.6,software engineer,"jacksonville, fl",30d+,$115k - $161k (employer est.)
f5,3.8,principal software engineer,"seattle, wa",4d,$82k - $102k (employer est.)
cnh industrial,3.8,software engineer ii,remote,2d,$86k - $136k (glassdoor est.)
fusion plus solutions inc.,3.7,software engineers,"edison, nj",30d+,$170k - $200k (employer est.)
university of florida,3.2,software engineer i/ii,florida,16d,$90k - $116k (glassdoor est.)
northwestern mutual,3.8,software engineer,"franklin, wi",4d,$114k - $152k (glassdoor est.)
vibrint,3.8,software engineer i,"annapolis junction, md",30d+,$80k - $120k (employer est.)
hubbell incorporated,3.4,sr assoc software engineer,"avon, ct",1d,$95k - $126k (glassdoor est.)
valkyrie enterprises,3.8,junior computer/software engineer (job id: 3433),"huntsville, al",23d,$138k - $178k (employer est.)
two six technologies,4.5,software engineer,"herndon, va",30d+,$61k - $147k (employer est.)
decision six,3.6,software engineer,united states,5d,$124k - $211k (employer est.)
microsoft,4.4,software engineer,"redmond, wa",4d,$90k - $117k (glassdoor est.)
ateliere creative technologies,4.1,senior devops engineer - los angeles,"los angeles, ca",2d,$98k - $209k (employer est.)
openai,3.1,"software engineer, hardware health","san francisco, ca",5d,$78k - $121k (glassdoor est.)
two six technologies,2.7,software engineer,"tysons corner, va",17d,$100k - $165k (employer est.)
splunk,3.5,software engineer (us remote available),remote,3d,$125k (employer est.)
sasken,4.1,software engineer,united states,6d,$71k - $112k (glassdoor est.)
realmone,3.8,software engineer,united states,5d,$95k - $152k (employer est.)
the wolf works llc,4.4,node js,"austin, tx",2d,$86k - $105k (glassdoor est.)
millennium management,3.8,software engineer - c#,"new york, ny",30d+,$135k - $216k (employer est.)
"aflac, incorporated",4.0,software engineer iii,remote,1d,$93k - $112k (employer est.)
ringcentral,3.9,software engineer,"belmont, ca",24d,$104k - $161k (glassdoor est.)
dallas area rapid transit,3.7,software engineer-bi,"dallas, tx",30d+,$77k - $121k (glassdoor est.)
w r systems,3.5,software engineer,"dahlgren, va",4d,$95k - $134k (glassdoor est.)
"carecraft, inc",3.7,software engineer,"carlsbad, ca",10d,$125k - $178k (employer est.)
specialt tech,3.1,cloud engineer manager,remote,25d,$76k - $108k (glassdoor est.)
"hottinger, bruel & kjaer",4.5,software engineer,"pompano beach, fl",30d+,$77k - $116k (glassdoor est.)
"cps solutions, llc",4.1,devops engineer,united states,3d,$82k - $106k (glassdoor est.)
northwestern memorial healthcare,4.2,software developers,"chicago, il",10d,$86k - $120k (glassdoor est.)
the swift group,4.1,software engineer,"columbia, md",30d+,$96k - $146k (employer est.)
asus computer international,4.9,software engineer - ai,"hillsboro, or",30d+,$96k - $137k (glassdoor est.)
persistent systems,4.6,workday software engineer,united states,9d,$141k - $239k (employer est.)
cedar inc,3.3,software engineer ii (communications platform),"new york, ny",20d,$108k - $140k (employer est.)
salesforce,3.1,software engineering mts,"san francisco, ca",3d,$40.00 - $55.00 per hour (employer est.)
cvs health,2.4,"software developer - c#, .net","scottsdale, az",3d,$108k - $195k (employer est.)
nautilus hyosung america inc,3.1,software engineer,"irving, tx",3d,$111k - $184k (employer est.)
blue origin,4.4,embedded flight software engineer – new glenn,"seattle, wa",2d,$189k - $284k (employer est.)
west bend insurance company,4.9,software engineer,"west bend, wi",1d,$79k - $109k (glassdoor est.)
jbt corporation,4.1,software engineer c#,"chalfont, pa",15d,$94k - $129k (glassdoor est.)
cedar inc,3.1,software engineer iii (payment workflows),"new york, ny",19d,$56k - $83k (glassdoor est.)
allied business consulting,3.8,software developers,"somerset, nj",13d,$202k - $290k (employer est.)
"chick-fil-a, inc.",2.3,senior software engineer - backend development,"atlanta, ga",11d,$70k - $103k (glassdoor est.)
"us amr-jones lang lasalle americas, inc.",3.8,software engineering,"san francisco, ca",2d,$86k - $121k (glassdoor est.)
smart ims,3.8,software engineer,"austin, tx",30d+,$74k - $107k (glassdoor est.)
clearwater analytics,4.7,software development engineer,"san jose, ca",30d+,$81k - $113k (glassdoor est.)
paypal,3.9,"software engineer, backend","san jose, ca",2d,$72k - $119k (glassdoor est.)
walgreens,4.6,principal software engineer,"bellevue, wa",1d,$90k - $125k (glassdoor est.)
the swift group,3.7,software engineer,"mclean, va",18d,$80k - $150k (employer est.)
hewlett packard,3.5,software engineer,"spring, tx",10d,$72k - $144k (employer est.)
microsoft,4.0,software engineer,"redmond, wa",5d,$70k - $95k (employer est.)
new river systems corporation,4.4,sharepoint software systems engineer,remote,17d,$100k - $140k (employer est.)
"modern technology solutions, inc.",4.6,software engineer - associate,"chantilly, va",11d,$124k - $234k (employer est.)
pqsecure technologies,3.7,hardware/software engineer,"boca raton, fl",30d+,$88k - $119k (glassdoor est.)
ispa technology,4.4,mid to senior level software engineer,"san diego, ca",19d,$123k - $198k (employer est.)
onmed,5.0,site reliability engineer,"tampa, fl",23d,$158k - $176k (employer est.)
grote industries,4.2,networks - embedded software engineer,"madison, in",3d,$160k - $180k (employer est.)
walgreens,3.9,devops engineer,"deerfield, il",24h,$87k - $119k (glassdoor est.)
cloud software group,4.5,software engineer,"naperville, il",12d,$97k - $145k (employer est.)
walgreens,4.6,"senior software engineer (full-stack, java, javascript)","bellevue, wa",30d+,$89k - $139k (glassdoor est.)
nationmind infoservices pvt ltd,3.6,software engineer,florida,16d,$53k - $103k (employer est.)
arrowstreet capital,3.4,fullstack software engineer,"boston, ma",30d+,$129k - $228k (employer est.)
favorited,4.8,full stack engineer,"santa monica, ca",2d,$150k - $250k (employer est.)
strategic thermal labs,2.5,software engineer,"georgetown, tx",11d,$116k - $163k (glassdoor est.)
idolsoft,3.3,software developer,"irving, tx",30d+,$104k - $127k (glassdoor est.)
bi labs,3.1,software developers (834),"plainsboro, nj",30d+,$53k - $96k (employer est.)
verily,3.5,"software engineer, enterprise frontend","san bruno, ca",30d+,$60k - $90k (employer est.)
colonial pipeline company,4.4,software engineer,"alpharetta, ga",30d+,$143k - $191k (employer est.)
leader communications inc,4.2,software engineer,"hill afb, ut",26d,$142k - $162k (employer est.)
ucare,3.3,software engineer sr. â€” net,"minneapolis, mn",12d,$89k - $129k (glassdoor est.)
cliftonlarsonallen,4.8,devops engineer,"minneapolis, mn",11d,$94k - $156k (employer est.)
two six technologies,3.9,software engineer associate manager - national general,remote,4d,$80k - $148k (glassdoor est.)
bae systems,3.9,software engineer,"herndon, va",30d+,$62k - $105k (employer est.)
nodal exchange,3.5,software engineer (expert),"herndon, va",30d+,$81k - $164k (employer est.)
gomez & companies,3.5,software engineer (mid-level),united states,9d,$98k - $145k (glassdoor est.)
"t-mobile usa, inc.",3.7,full stack software engineer & api developer,"canoga park, ca",1d,$157k - $207k (employer est.)
m&t bank,3.5,sr software engineer - data,"bellevue, wa",3d,$133k - $143k (employer est.)
pressco technology,4.5,"api services - senior software engineer - java, spring boot","buffalo, ny",10d,$79k - $159k (employer est.)
youtube,3.8,software integration & test engineer,"solon, oh",3d,$132k - $190k (glassdoor est.)
ispa technology,4.2,"staff software engineer, machine learning, youtube music","new york, ny",1d,$90k - $143k (glassdoor est.)
scentsy inc,4.0,mid-level software systems engineer,united states,23d,$101k - $187k (employer est.)
stratascorp,3.5,software engineer,"meridian, id",5d,$58k - $103k (glassdoor est.)
3r info,3.8,software engineer,"arlington, va",4d,$125k - $200k (employer est.)
toyota research institute,4.1,software engineer in testing,"canton, mi",30d+,$168k (employer est.)
